,Set Combination,Intersection,set_number,word_percent
222,"('subset_여행', 'subset_어댑터', 'subset_콘센트')","['여행', '어댑터', '멀티어댑터', '충전']",3,16.94
228,"('subset_여행', 'subset_어댑터', 'subset_멀티탭')","['여행', '해외여행', '어댑터', '충전']",3,16.87
229,"('subset_여행', 'subset_어댑터', 'subset_충전기')","['여행', '어댑터', '충전']",3,15.86
235,"('subset_여행', 'subset_콘센트', 'subset_멀티탭')","['여행', '어댑터', '충전']",3,15.86
236,"('subset_여행', 'subset_콘센트', 'subset_충전기')","['여행', '어댑터', '충전']",3,15.86
257,"('subset_여행', 'subset_멀티탭', 'subset_충전기')","['여행', '어댑터', '충전']",3,15.86
297,"('subset_어댑터', 'subset_콘센트', 'subset_가능')","['가능', '충전']",3,9.88
299,"('subset_어댑터', 'subset_콘센트', 'subset_멀티탭')","['여행', '어댑터', '충전']",3,15.86
300,"('subset_어댑터', 'subset_콘센트', 'subset_충전기')","['여행', '어댑터', '충전']",3,15.86
321,"('subset_어댑터', 'subset_멀티탭', 'subset_충전기')","['여행', '어댑터', '충전기', '충전']",3,16.96
342,"('subset_콘센트', 'subset_멀티탭', 'subset_충전기')","['여행', '어댑터', '충전']",3,15.86
358,"('subset_포트', 'subset_C타입', 'subset_가능')","['C타입', '포트', '충전']",3,12.22
359,"('subset_포트', 'subset_C타입', 'subset_고속충전')","['C타입', '포트', '충전']",3,12.22
361,"('subset_포트', 'subset_C타입', 'subset_충전기')","['C타입', '충전']",3,10.16
362,"('subset_포트', 'subset_가능', 'subset_고속충전')","['C타입', '포트', '충전', '고속충전']",3,13.81
364,"('subset_포트', 'subset_가능', 'subset_충전기')","['C타입', '충전', '고속충전']",3,11.75
366,"('subset_포트', 'subset_고속충전', 'subset_충전기')","['C타입', '충전', '고속충전']",3,11.75
368,"('subset_C타입', 'subset_가능', 'subset_고속충전')","['C타입', '포트', '충전']",3,12.22
370,"('subset_C타입', 'subset_가능', 'subset_충전기')","['C타입', '충전']",3,10.16
372,"('subset_C타입', 'subset_고속충전', 'subset_충전기')","['C타입', '충전']",3,10.16
375,"('subset_가능', 'subset_고속충전', 'subset_충전기')","['C타입', '충전', '고속충전']",3,11.75
442,"('subset_충전', 'subset_여행', 'subset_어댑터', 'subset_콘센트')","['여행', '충전']",4,13.33
448,"('subset_충전', 'subset_여행', 'subset_어댑터', 'subset_멀티탭')","['여행', '충전']",4,13.33
449,"('subset_충전', 'subset_여행', 'subset_어댑터', 'subset_충전기')","['여행', '충전']",4,13.33
455,"('subset_충전', 'subset_여행', 'subset_콘센트', 'subset_멀티탭')","['여행', '충전']",4,13.33
456,"('subset_충전', 'subset_여행', 'subset_콘센트', 'subset_충전기')","['여행', '충전']",4,13.33
477,"('subset_충전', 'subset_여행', 'subset_멀티탭', 'subset_충전기')","['여행', '충전']",4,13.33
517,"('subset_충전', 'subset_어댑터', 'subset_콘센트', 'subset_가능')","['가능', '충전']",4,9.88
519,"('subset_충전', 'subset_어댑터', 'subset_콘센트', 'subset_멀티탭')","['여행', '충전']",4,13.33
520,"('subset_충전', 'subset_어댑터', 'subset_콘센트', 'subset_충전기')","['여행', '충전']",4,13.33
541,"('subset_충전', 'subset_어댑터', 'subset_멀티탭', 'subset_충전기')","['여행', '충전기', '충전']",4,14.43
562,"('subset_충전', 'subset_콘센트', 'subset_멀티탭', 'subset_충전기')","['여행', '충전']",4,13.33
578,"('subset_충전', 'subset_포트', 'subset_C타입', 'subset_가능')","['C타입', '포트', '충전']",4,12.22
579,"('subset_충전', 'subset_포트', 'subset_C타입', 'subset_고속충전')","['C타입', '포트', '충전']",4,12.22
581,"('subset_충전', 'subset_포트', 'subset_C타입', 'subset_충전기')","['C타입', '충전']",4,10.16
582,"('subset_충전', 'subset_포트', 'subset_가능', 'subset_고속충전')","['C타입', '포트', '충전', '고속충전']",4,13.81
584,"('subset_충전', 'subset_포트', 'subset_가능', 'subset_충전기')","['C타입', '충전', '고속충전']",4,11.75
586,"('subset_충전', 'subset_포트', 'subset_고속충전', 'subset_충전기')","['C타입', '충전', '고속충전']",4,11.75
588,"('subset_충전', 'subset_C타입', 'subset_가능', 'subset_고속충전')","['C타입', '포트', '충전']",4,12.22
