,Set Combination,Intersection,set_number,word_percent,not_in_intersection,concated_word_list,word_percent_concated
90,"('subset_충전', 'subset_어댑터', 'subset_충전기')","['충전', '충전기', 'C타입']",3,12.1,['어댑터'],"['충전', '충전기', 'C타입', '어댑터']",14.83
92,"('subset_충전', 'subset_콘센트', 'subset_포트')","['충전', '포트']",3,11.0,['콘센트'],"['충전', '포트', '콘센트']",13.37
93,"('subset_충전', 'subset_콘센트', 'subset_C타입')","['충전', '포트']",3,11.0,"['콘센트', 'C타입']","['충전', '포트', '콘센트', 'C타입']",15.51
95,"('subset_충전', 'subset_콘센트', 'subset_멀티탭')","['충전', '충전기', '포트']",3,12.18,"['콘센트', '멀티탭']","['충전', '충전기', '포트', '콘센트', '멀티탭']",15.86
96,"('subset_충전', 'subset_콘센트', 'subset_충전기')","['충전', '충전기']",3,9.96,['콘센트'],"['충전', '충전기', '콘센트']",12.33
102,"('subset_충전', 'subset_포트', 'subset_C타입')","['충전', '포트', 'C타입']",3,13.14,[],"['충전', '포트', 'C타입']",13.14
103,"('subset_충전', 'subset_포트', 'subset_고속충전')","['포트', 'C타입']",3,4.36,"['충전', '고속충전']","['포트', 'C타입', '충전', '고속충전']",14.85
104,"('subset_충전', 'subset_포트', 'subset_멀티탭')","['충전', '포트']",3,11.0,['멀티탭'],"['충전', '포트', '멀티탭']",12.3
105,"('subset_충전', 'subset_포트', 'subset_충전기')","['충전', 'C타입']",3,10.92,"['포트', '충전기']","['충전', 'C타입', '포트', '충전기']",14.32
106,"('subset_충전', 'subset_C타입', 'subset_고속충전')","['포트', 'C타입']",3,4.36,"['충전', '고속충전']","['포트', 'C타입', '충전', '고속충전']",14.85
107,"('subset_충전', 'subset_C타입', 'subset_멀티탭')","['충전', '포트']",3,11.0,"['C타입', '멀티탭']","['충전', '포트', 'C타입', '멀티탭']",14.45
108,"('subset_충전', 'subset_C타입', 'subset_충전기')","['충전', 'C타입']",3,10.92,['충전기'],"['충전', 'C타입', '충전기']",12.1
110,"('subset_충전', 'subset_고속충전', 'subset_충전기')","['고속충전', 'C타입']",3,3.85,"['충전', '충전기']","['고속충전', 'C타입', '충전', '충전기']",13.82
111,"('subset_충전', 'subset_멀티탭', 'subset_충전기')","['충전', '충전기']",3,9.96,['멀티탭'],"['충전', '충전기', '멀티탭']",11.27
177,"('subset_어댑터', 'subset_콘센트', 'subset_포트')","['충전', '포트']",3,11.0,"['어댑터', '콘센트']","['충전', '포트', '어댑터', '콘센트']",16.1
178,"('subset_어댑터', 'subset_콘센트', 'subset_C타입')","['충전', '포트']",3,11.0,"['어댑터', '콘센트', 'C타입']","['충전', '포트', '어댑터', '콘센트', 'C타입']",18.24
180,"('subset_어댑터', 'subset_콘센트', 'subset_멀티탭')","['해외', '포트', '어댑터', '충전', '충전기']",3,15.86,"['콘센트', '멀티탭']","['해외', '포트', '어댑터', '충전', '충전기', '콘센트', '멀티탭']",19.53
181,"('subset_어댑터', 'subset_콘센트', 'subset_충전기')","['어댑터', '충전', '충전기']",3,12.69,['콘센트'],"['어댑터', '충전', '충전기', '콘센트']",15.06
187,"('subset_어댑터', 'subset_포트', 'subset_C타입')","['충전', '포트', 'C타입']",3,13.14,['어댑터'],"['충전', '포트', 'C타입', '어댑터']",15.87
188,"('subset_어댑터', 'subset_포트', 'subset_고속충전')","['포트', 'C타입']",3,4.36,"['어댑터', '고속충전']","['포트', 'C타입', '어댑터', '고속충전']",8.8
189,"('subset_어댑터', 'subset_포트', 'subset_멀티탭')","['충전', '포트']",3,11.0,"['어댑터', '멀티탭']","['충전', '포트', '어댑터', '멀티탭']",15.03
190,"('subset_어댑터', 'subset_포트', 'subset_충전기')","['충전', 'C타입']",3,10.92,"['어댑터', '포트', '충전기']","['충전', 'C타입', '어댑터', '포트', '충전기']",17.05
191,"('subset_어댑터', 'subset_C타입', 'subset_고속충전')","['포트', 'C타입']",3,4.36,"['어댑터', '고속충전']","['포트', 'C타입', '어댑터', '고속충전']",8.8
192,"('subset_어댑터', 'subset_C타입', 'subset_멀티탭')","['충전', '포트']",3,11.0,"['어댑터', 'C타입', '멀티탭']","['충전', '포트', '어댑터', 'C타입', '멀티탭']",17.17
193,"('subset_어댑터', 'subset_C타입', 'subset_충전기')","['충전', 'C타입']",3,10.92,"['어댑터', '충전기']","['충전', 'C타입', '어댑터', '충전기']",14.83
196,"('subset_어댑터', 'subset_멀티탭', 'subset_충전기')","['어댑터', '충전', '충전기']",3,12.69,['멀티탭'],"['어댑터', '충전', '충전기', '멀티탭']",13.99
202,"('subset_콘센트', 'subset_포트', 'subset_C타입')","['충전', '포트']",3,11.0,"['콘센트', 'C타입']","['충전', '포트', '콘센트', 'C타입']",15.51
204,"('subset_콘센트', 'subset_포트', 'subset_멀티탭')","['충전', '포트']",3,11.0,"['콘센트', '멀티탭']","['충전', '포트', '콘센트', '멀티탭']",14.67
207,"('subset_콘센트', 'subset_C타입', 'subset_멀티탭')","['충전', '포트']",3,11.0,"['콘센트', 'C타입', '멀티탭']","['충전', '포트', '콘센트', 'C타입', '멀티탭']",16.81
211,"('subset_콘센트', 'subset_멀티탭', 'subset_충전기')","['어댑터', '충전', '충전기']",3,12.69,"['콘센트', '멀티탭']","['어댑터', '충전', '충전기', '콘센트', '멀티탭']",16.36
222,"('subset_포트', 'subset_C타입', 'subset_고속충전')","['포트', 'C타입']",3,4.36,['고속충전'],"['포트', 'C타입', '고속충전']",6.07
223,"('subset_포트', 'subset_C타입', 'subset_멀티탭')","['충전', '포트']",3,11.0,"['C타입', '멀티탭']","['충전', '포트', 'C타입', '멀티탭']",14.45
224,"('subset_포트', 'subset_C타입', 'subset_충전기')","['충전', 'C타입']",3,10.92,"['포트', '충전기']","['충전', 'C타입', '포트', '충전기']",14.32
297,"('subset_충전', 'subset_어댑터', 'subset_콘센트', 'subset_포트')","['충전', '포트']",4,11.0,"['어댑터', '콘센트']","['충전', '포트', '어댑터', '콘센트']",16.1
298,"('subset_충전', 'subset_어댑터', 'subset_콘센트', 'subset_C타입')","['충전', '포트']",4,11.0,"['어댑터', '콘센트', 'C타입']","['충전', '포트', '어댑터', '콘센트', 'C타입']",18.24
300,"('subset_충전', 'subset_어댑터', 'subset_콘센트', 'subset_멀티탭')","['충전', '충전기', '포트']",4,12.18,"['어댑터', '콘센트', '멀티탭']","['충전', '충전기', '포트', '어댑터', '콘센트', '멀티탭']",18.58
